,0,1,2,3,granger_scores
4688,Nfkb1,Icam1,Activation,10092659;10946302;11463837;11877286;16317091;16385502;17121934;19074768;20173029;22001597;22708120;9733827;9916895,66.28513
4689,Nfkb1,Icam1,Unknown,10738944;10837365;10926553;11198351;11401521;12490396;12691701;15480988;15800027;15843586;16105834;16453001;18285351;18928584;20103608;9192770,66.28513
4690,Nfkb1,Ier3,Unknown,12360408,101.9031
4708,Nfkb1,Il1b,Activation,12686724;14960579;8413223;8679226;9878621,105.104355
4709,Nfkb1,Il1b,Unknown,10080875;10963848;16433741;17707233;18285351;20336759;9058643,105.104355
4727,Nfkb1,Junb,Activation,17018379,54.054092
4728,Nfkb1,Kdm2a,Unknown,20080798,93.18651
4734,Nfkb1,Lpl,Activation,20200316,29.10365
4737,Nfkb1,Mat2a,Activation,14530285,44.854557
4743,Nfkb1,Mif,Unknown,18710704,66.035675
4763,Nfkb1,Ncor1,Unknown,17876798,103.44278
4764,Nfkb1,Ncor2,Unknown,17876798,54.87971
4765,Nfkb1,Nfkb1,Unknown,19469019,-0.0
4766,Nfkb1,Nfkbia,Activation,12885753,30.810804
4767,Nfkb1,Nfkbia,Repression,11744993,30.810804
4768,Nfkb1,Nfkbia,Unknown,10454561;15499023;17876798,30.810804
4769,Nfkb1,Nfkbiz,Unknown,20220144,-48.597065
4780,Nfkb1,Nrf1,Unknown,20587593,49.624817
4805,Nfkb1,Ptges,Activation,17928629,-86.55059
4813,Nfkb1,Reps2,Repression,15184881,95.55313
4814,Nfkb1,Rgs4,Activation,18260825,78.254326
4817,Nfkb1,S100a6,Activation,12859951,-53.34601
4827,Nfkb1,Slc25a27,Activation,20385226,100.81157
4832,Nfkb1,Sod2,Activation,11880364;14515147;19507253,84.330444
4833,Nfkb1,Sod2,Unknown,15330761;18779124,84.330444
4834,Nfkb1,Sqstm1,Unknown,9762895,51.888893
4850,Nfkb1,Thbd,Repression,17211835;22406829,77.79799
4861,Nfkb1,Tnfaip3,Activation,11880364;19343319,32.527332
4862,Nfkb1,Tnfaip3,Unknown,10807933,32.527332
4867,Nfkb1,Tnfrsf9,Unknown,12706838,112.081566
4880,Nfkb1,Trim21,Unknown,23391827,52.086388
4902,Nfkbia,Ccl5,Repression,15228586,57.627605
4908,Nfkbia,Icam1,Repression,12490396;9733827;9990039,49.99302
4910,Nfkbia,Il1b,Repression,15228586,98.033646
4914,Nfkbia,Nfkb1,Activation,9500973,45.28277
4915,Nfkbia,Nfkb1,Repression,11278471;18606063;20173029,45.28277
4916,Nfkbia,Nfkb1,Unknown,15713458;17148610,45.28277
4922,Nfkbia,S100a6,Repression,12859951,-41.62888
4930,Nfya,Ccnd2,Activation,9339900,-64.45551
